t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
1.167973311092577049e+01,5.745921446850364989e-01,2.395086458349723613e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.170975813177648028e+01,7.398001852451679961e-01,2.494635294814218918e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.173978315262718830e+01,5.664022053117340194e-01,2.596213253220674422e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.176980817347789809e+01,7.000085481494947581e-01,2.699778049587267525e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.179983319432860611e+01,6.664349517390325550e-01,2.805284131163762740e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.182985821517931591e+01,5.157217583399001937e-01,2.912682700679876113e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.185988323603002392e+01,5.363127152243947204e-01,3.021921745893924593e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.188990825688073372e+01,4.869050996413072929e-01,3.132946074414051929e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.191993327773144173e+01,4.030906021529898076e-01,3.245697353755551684e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.194995829858215153e+01,4.536106375328545215e-01,3.360114156589540935e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.197998331943285955e+01,4.513286745038715408e-01,3.476132011129367538e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.201000834028356934e+01,5.456257594552424983e-01,3.593683456593241843e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.204003336113427736e+01,5.814269453023637180e-01,3.712698103672915639e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.207005838198498715e+01,5.905125209335705394e-01,3.833102699930240331e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.210008340283569517e+01,5.841451346620525342e-01,3.954821200035255058e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.213010842368640496e+01,8.462729889883886525e-01,4.077774840751817731e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.216013344453711298e+01,6.944361125820153191e-01,4.201882220568320392e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.219015846538782277e+01,6.187764867959484327e-01,4.327059383864488296e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.222018348623853079e+01,5.565489022618523851e-01,4.453219909496482498e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.225020850708924058e+01,5.032073307981510535e-01,4.580275003676638756e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.228023352793994860e+01,6.603286256629304907e-01,4.708133597015700667e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.231025854879065839e+01,7.404940005676375891e-01,4.836702445589842747e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.234028356964136819e+01,6.562206732020247069e-01,4.965886235887049249e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.237030859049207621e+01,8.669895132130528426e-01,5.095587693481640201e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.240033361134278600e+01,9.927763420120102600e-01,5.225707695279255827e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.243035863219349402e+01,1.000000000000000000e+00,5.356145385168770146e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.246038365304420381e+01,8.802841096992273240e-01,5.486798292911821973e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.249040867389491183e+01,8.746563059107728133e-01,5.617562456095293033e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.252043369474562162e+01,7.593273908561322116e-01,5.748332544967050817e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.255045871559632964e+01,7.954172238090626568e-01,5.879001989969879771e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.258048373644703943e+01,8.939911127029863680e-01,6.009463111784909550e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.261050875729774745e+01,9.834589390456283109e-01,6.139607253690361199e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
