T_months,phi_rad,phi_over_pi,auc_true,auc_nn
2.983647240283340452e+01,2.420014265287000033e+00,7.703144653466548197e-01,8.056885173302744674e-01,7.722231308306524156e-01
3.351602650938841066e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.793766485641996367e-01,7.237804545631062458e-01
3.764935806792467332e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.737541671520877795e-01,7.503852095226146712e-01
4.229242874389498752e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.958851613539210668e-01,7.742082691084086754e-01
4.750810162102798273e+01,2.420014265287000033e+00,7.703144653466548197e-01,8.233058435719811108e-01,7.939144456791561444e-01
5.336699231206306848e+01,2.420014265287000033e+00,7.703144653466548197e-01,8.267138719862826557e-01,8.148660070169463365e-01
5.994842503189408944e+01,2.420014265287000033e+00,7.703144653466548197e-01,8.013932887940948824e-01,7.686903398992117609e-01
6.734150657750821267e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.747481598812288039e-01,7.576413191052721041e-01
7.564633275546290747e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.639193521646787666e-01,7.199709736946657834e-01
8.497534359086438371e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.743806402179465032e-01,7.516362419756184021e-01
9.545484566618337396e+01,2.420014265287000033e+00,7.703144653466548197e-01,8.201636764736632834e-01,7.975203298024561294e-01
1.072267222010323167e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.391652925519995643e-01,7.993942880144342400e-01
1.204503540258782408e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.376487255086464412e-01,8.123500329339439219e-01
1.353047774579806060e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.440817665438925532e-01,8.280705301692850018e-01
1.519911082952933157e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.311761039965827047e-01,8.038903594654096540e-01
1.707352647470690385e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.260522059021212504e-01,8.052233067023935043e-01
1.917910261672488730e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.618871000504837454e-01,8.205808117582396033e-01
2.154434690031884543e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.600790003913240112e-01,8.163604967424520353e-01
2.420128264794381039e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.706310248206931002e-01,8.581615409949187034e-01
2.718588242732940330e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.411641066312980364e-01,8.247150579069844056e-01
